,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
223,31.0,0.4,20.0,0.4,7.851040885,7.816752
224,40.0,0.4,20.0,0.4,7.976495322,7.8929095
225,4.0,0.5,20.0,0.4,3.579393249,3.7926178
226,13.0,0.5,20.0,0.4,7.623823233,7.510655
227,22.0,0.5,20.0,0.4,7.991185821,7.84817
228,31.0,0.5,20.0,0.4,8.203271314,7.984977
229,40.0,0.5,20.0,0.4,8.410979748,8.108138
230,4.0,0.6,20.0,0.4,3.30109045,3.5556579
231,13.0,0.6,20.0,0.4,7.559376722,7.351923
232,22.0,0.6,20.0,0.4,8.021338358,7.8232517
233,31.0,0.6,20.0,0.4,8.311296323,7.9906883
234,40.0,0.6,20.0,0.4,8.596304149,8.145114
235,4.0,0.7,20.0,0.4,3.179059192,3.3621707
236,13.0,0.7,20.0,0.4,7.22368292,7.0822926
237,22.0,0.7,20.0,0.4,7.738509841,7.703119
238,31.0,0.7,20.0,0.4,8.085706603,7.8932185
239,40.0,0.7,20.0,0.4,8.417307456,8.06929
240,4.0,0.2,26.0,0.4,6.514618406,6.5005145
241,13.0,0.2,26.0,0.4,8.235086257,8.1435795
242,22.0,0.2,26.0,0.4,8.462159621,8.354139
243,31.0,0.2,26.0,0.4,8.492181485,8.351432
244,40.0,0.2,26.0,0.4,8.517862303,8.270852
245,4.0,0.3,26.0,0.4,5.980141368,5.872139
246,13.0,0.3,26.0,0.4,8.823282174,8.81613
247,22.0,0.3,26.0,0.4,9.207796572,9.118649
248,31.0,0.3,26.0,0.4,9.290979833,9.233844
249,40.0,0.3,26.0,0.4,9.370059334,9.280945
250,4.0,0.4,26.0,0.4,4.746358506,4.919874
251,13.0,0.4,26.0,0.4,9.311616736,9.186413
252,22.0,0.4,26.0,0.4,9.879774385,9.687273
253,31.0,0.4,26.0,0.4,10.04457025,9.903043
254,40.0,0.4,26.0,0.4,10.20684942,10.045507
255,4.0,0.5,26.0,0.4,4.165567768,4.3991876
256,13.0,0.5,26.0,0.4,9.606934646,9.258829
257,22.0,0.5,26.0,0.4,10.35055325,9.949574
258,31.0,0.5,26.0,0.4,10.60154363,10.210983
259,40.0,0.5,26.0,0.4,10.84929655,10.402085
260,4.0,0.6,26.0,0.4,3.922082149,4.079624
261,13.0,0.6,26.0,0.4,9.458193549,9.078551
262,22.0,0.6,26.0,0.4,10.30035483,9.969065
263,31.0,0.6,26.0,0.4,10.60229746,10.256729
264,40.0,0.6,26.0,0.4,10.89528959,10.479271
265,4.0,0.7,26.0,0.4,3.924356943,3.869359
266,13.0,0.7,26.0,0.4,8.999202395,8.712371
267,22.0,0.7,26.0,0.4,9.931329133,9.823247
268,31.0,0.7,26.0,0.4,10.29949287,10.1300955
269,40.0,0.7,26.0,0.4,10.65490766,10.377197
270,4.0,0.2,32.0,0.4,7.872513133,7.552437
271,13.0,0.2,32.0,0.4,10.1427779,9.613915
272,22.0,0.2,32.0,0.4,10.60807955,10.136296
273,31.0,0.2,32.0,0.4,10.65949309,10.274081
274,40.0,0.2,32.0,0.4,10.70473349,10.229335
275,4.0,0.3,32.0,0.4,6.500064276,6.5720506
276,13.0,0.3,32.0,0.4,10.50448672,10.43795
277,22.0,0.3,32.0,0.4,11.23420178,11.030001
278,31.0,0.3,32.0,0.4,11.34059922,11.249893
279,40.0,0.3,32.0,0.4,11.44182116,11.337926
280,4.0,0.4,32.0,0.4,5.249512073,5.451592
281,13.0,0.4,32.0,0.4,10.97540104,10.911671
282,22.0,0.4,32.0,0.4,12.0080367,11.728883
283,31.0,0.4,32.0,0.4,12.20106773,12.020106
284,40.0,0.4,32.0,0.4,12.56022791,12.179578
285,4.0,0.5,32.0,0.4,4.708733863,4.950098
286,13.0,0.5,32.0,0.4,11.27340643,10.999226
287,22.0,0.5,32.0,0.4,12.47320493,12.058184
288,31.0,0.5,32.0,0.4,12.73169689,12.374046
289,40.0,0.5,32.0,0.4,13.07446705,12.561372
290,4.0,0.6,32.0,0.4,4.663725488,4.6250525
291,13.0,0.6,32.0,0.4,11.2195365,10.761252
292,22.0,0.6,32.0,0.4,12.6810629,12.1105585
293,31.0,0.6,32.0,0.4,13.01726626,12.447978
294,40.0,0.6,32.0,0.4,13.33957594,12.658579
295,4.0,0.7,32.0,0.4,4.589114754,4.372884
296,13.0,0.7,32.0,0.4,10.59331974,10.265512
297,22.0,0.7,32.0,0.4,12.21834863,11.970109
298,31.0,0.7,32.0,0.4,12.61529207,12.335844
299,40.0,0.7,32.0,0.4,12.99597717,12.572919
300,4.0,0.2,8.0,0.6,2.094525214,2.360296
301,13.0,0.2,8.0,0.6,2.295220419,2.4600546
302,22.0,0.2,8.0,0.6,2.23326228,2.3917968
303,31.0,0.2,8.0,0.6,2.169996308,2.3593931
304,40.0,0.2,8.0,0.6,2.106697464,2.3420458
305,4.0,0.3,8.0,0.6,2.668711154,2.8785787
306,13.0,0.3,8.0,0.6,3.052867289,3.2826228
307,22.0,0.3,8.0,0.6,2.946514222,3.1578608
308,31.0,0.3,8.0,0.6,2.838613671,3.0574963
309,40.0,0.3,8.0,0.6,2.730034043,2.9843535
310,4.0,0.4,8.0,0.6,2.925174309,3.0952384
311,13.0,0.4,8.0,0.6,3.516593646,3.5030851
312,22.0,0.4,8.0,0.6,3.406165029,3.4545927
313,31.0,0.4,8.0,0.6,3.292921748,3.4086971
314,40.0,0.4,8.0,0.6,3.17946792,3.370959
315,4.0,0.5,8.0,0.6,2.874886204,3.0214367
316,13.0,0.5,8.0,0.6,3.668026353,3.6200333
317,22.0,0.5,8.0,0.6,3.602056142,3.572125
318,31.0,0.5,8.0,0.6,3.534152559,3.5347767
319,40.0,0.5,8.0,0.6,3.465862447,3.5094051
320,4.0,0.6,8.0,0.6,2.656731898,2.81785
321,13.0,0.6,8.0,0.6,3.705238263,3.6920505
322,22.0,0.6,8.0,0.6,3.717271074,3.6819901
323,31.0,0.6,8.0,0.6,3.72669635,3.6563358
324,40.0,0.6,8.0,0.6,3.734623626,3.6355524
325,4.0,0.7,8.0,0.6,2.447005738,2.6013277
326,13.0,0.7,8.0,0.6,3.628327524,3.6897154
327,22.0,0.7,8.0,0.6,3.743143369,3.7452426
328,31.0,0.7,8.0,0.6,3.84032334,3.7709918
329,40.0,0.7,8.0,0.6,3.946130587,3.7955174
330,4.0,0.2,14.0,0.6,3.745821258,3.7383175
331,13.0,0.2,14.0,0.6,4.487350029,4.457768
332,22.0,0.2,14.0,0.6,4.44362016,4.3780537
333,31.0,0.2,14.0,0.6,4.386249547,4.293482
334,40.0,0.2,14.0,0.6,4.328000541,4.2298927
335,4.0,0.3,14.0,0.6,4.436812483,4.4473553
336,13.0,0.3,14.0,0.6,5.764799503,5.872091
337,22.0,0.3,14.0,0.6,5.731263886,5.7667785
338,31.0,0.3,14.0,0.6,5.677333599,5.6731286
339,40.0,0.3,14.0,0.6,5.621998335,5.597487
340,4.0,0.4,14.0,0.6,4.340552776,4.3980775
341,13.0,0.4,14.0,0.6,6.333522494,6.4721775
342,22.0,0.4,14.0,0.6,6.356293884,6.435795
343,31.0,0.4,14.0,0.6,6.355076914,6.4063797
344,40.0,0.4,14.0,0.6,6.352173216,6.3907514
345,4.0,0.5,14.0,0.6,3.895274589,3.9890637
346,13.0,0.5,14.0,0.6,6.581862401,6.6340084
347,22.0,0.5,14.0,0.6,6.678608173,6.6958933
348,31.0,0.5,14.0,0.6,6.749311613,6.7258024
349,40.0,0.5,14.0,0.6,6.821653171,6.7641983
350,4.0,0.6,14.0,0.6,3.474254099,3.670556
351,13.0,0.6,14.0,0.6,6.600267591,6.6100316
352,22.0,0.6,14.0,0.6,6.782506121,6.7774396
353,31.0,0.6,14.0,0.6,6.934163779,6.856795
354,40.0,0.6,14.0,0.6,7.083557221,6.939379
355,4.0,0.7,14.0,0.6,3.212166048,3.4915442
356,13.0,0.7,14.0,0.6,6.479443087,6.488358
357,22.0,0.7,14.0,0.6,6.74860779,6.7662687
358,31.0,0.7,14.0,0.6,6.985365122,6.8893228
359,40.0,0.7,14.0,0.6,7.22148985,7.0108433
360,4.0,0.2,20.0,0.6,5.367086629,5.2002444
361,13.0,0.2,20.0,0.6,6.681177292,6.6802106
362,22.0,0.2,20.0,0.6,6.724703019,6.659066
363,31.0,0.2,20.0,0.6,6.684602141,6.5278916
364,40.0,0.2,20.0,0.6,4.206297142,6.387677
365,4.0,0.3,20.0,0.6,5.838965602,5.8929915
366,13.0,0.3,20.0,0.6,8.179243789,8.094846
367,22.0,0.3,20.0,0.6,8.306817725,8.162155
368,31.0,0.3,20.0,0.6,8.304949005,8.127298
369,40.0,0.3,20.0,0.6,8.299127727,8.06916
370,4.0,0.4,20.0,0.6,5.460251956,5.519267
371,13.0,0.4,20.0,0.6,9.057738971,8.801103
372,22.0,0.4,20.0,0.6,9.293147524,9.004559
373,31.0,0.4,20.0,0.6,9.360330628,9.059062
374,40.0,0.4,20.0,0.6,9.420151971,9.081977
375,4.0,0.5,20.0,0.6,4.71765887,4.959408
376,13.0,0.5,20.0,0.6,9.077575921,9.101277
377,22.0,0.5,20.0,0.6,9.409090668,9.445519
378,31.0,0.5,20.0,0.6,9.546474813,9.560847
379,40.0,0.5,20.0,0.6,9.677614461,9.646718
380,4.0,0.6,20.0,0.6,4.180491286,4.505534
381,13.0,0.6,20.0,0.6,9.221367622,9.143678
382,22.0,0.6,20.0,0.6,9.661850387,9.62845
383,31.0,0.6,20.0,0.6,9.889767006,9.780977
384,40.0,0.6,20.0,0.6,10.11153743,9.9093485
385,4.0,0.7,20.0,0.6,3.961403099,4.1587825
386,13.0,0.7,20.0,0.6,9.134570752,9.020979
387,22.0,0.7,20.0,0.6,9.652748683,9.660743
388,31.0,0.7,20.0,0.6,9.955757802,9.838244
